,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,A1,Mem_s
1,16,1,71,1,1,12,-1,1,22,1,1,1,38,29,0.006932409,1,0,0.016654598,0.347826087,0.652173913,0.061027837,0.070175439,0.929824561,2.372722832,1.975933376,1.840985345,1,0.1
2,16,1,71,1,1,12,-1,1,26,-1,0,0,0,0,0.021663778,0.72,0.28,0.115133961,0.333333333,0.666666667,0.156316916,0.181506849,0.818493151,2.157242167,1.494305584,1.526325561,1,0.1
3,16,1,71,1,1,12,-1,1,19,1,1,1,11,26,0.009532062,0.909090909,0.090909091,0.059377263,0.414634146,0.585365854,0.155781585,0.835051546,0.164948454,1.477102258,1.003794455,0.855596815,2,0.7
4,16,1,71,1,1,12,-1,1,27,-1,0,0,0,0,0.005199307,1,0,0.03186097,0.272727273,0.727272727,0.066381156,0.169354839,0.830645161,2.813538294,1.49024952,1.272545047,2,0.8
5,16,1,71,1,1,12,-1,1,23,1,1,0,0,20,0.021663778,0.52,0.48,0.030412744,0.642857143,0.357142857,0.027837259,0.711538462,0.288461538,4.252187923,1.171763775,0.818873971,2,0.7
6,16,1,71,1,1,12,-1,1,27,-1,0,0,27,20,0.012131716,0.285714286,0.714285714,0.022447502,0.129032258,0.870967742,0.042291221,0.050632911,0.949367089,2.655835271,1.977651074,1.376421779,0,0.3
7,16,1,71,1,1,12,-1,1,24,1,1,1,38,26,0.002599653,0.666666667,0.333333333,0.275162925,0.005263158,0.994736842,0.203426124,0.005263158,0.994736842,2.951996218,1.644458841,1.279581794,2,0.6
8,16,1,71,1,1,12,-1,1,27,-1,1,1,27,26,0.006065858,0.571428571,0.428571429,0.072411296,0.83,0.17,0.169700214,0.94637224,0.05362776,2.45212966,1.464878926,1.283994621,2,0.9
9,16,1,71,1,1,12,-1,1,21,1,0,1,27,7,0.006065858,0.285714286,0.714285714,0.022447502,0.838709677,0.161290323,0.016595289,0.838709677,0.161290323,3.561543863,2.081103189,1.422497279,2,0.6
10,16,1,71,1,1,12,-1,1,26,-1,1,1,0,26,0.027729636,0.1875,0.8125,0.033309196,0.434782609,0.565217391,0.156316916,0.366438356,0.633561644,2.231965728,1.336400563,0.929190554,0,0.5
